SYMBOL,Name,ISIN,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,TIMESTAMP
NSE:EKC,Everest Kanto Cylinder Limited,INE184H01027,EQ,56.1,57.7,54.6,56,56.3,31-Jan-18
NSE:ELECON,Elecon Engineering Company Limited,INE205B01023,EQ,91.6,94.25,89.7,90,90.1,31-Jan-18
NSE:ELECTCAST,Electrosteel Castings Limited,INE086A01029,EQ,34,34.9,33.5,33.95,34,31-Jan-18
NSE:ELECTHERM,Electrotherm (India) Limited,INE822G01016,EQ,157.15,162.8,157.1,158.25,158.4,31-Jan-18
NSE:ELGIEQUIP,Elgi Equipments Limited,INE285A01027,EQ,313,318.7,305.55,309.9,316,31-Jan-18
NSE:ELGIRUBCO,Elgi Rubber Company Limited,INE819L01012,EQ,48,50.4,48,48.2,48.35,31-Jan-18
NSE:EMAMIINFRA,Emami Infrastructure Limited,INE778K01012,EQ,325.55,335,316.2,324.1,322.6,31-Jan-18
NSE:EMAMILTD,Emami Limited,INE548C01032,EQ,1135.2,1144.9,1106.3,1124.75,1118.45,31-Jan-18
NSE:EMCO,Emco Limited,INE078A01026,EQ,20.1,20.45,19.65,20,20.15,31-Jan-18
NSE:EMKAY,Emkay Global Financial Services Limited,INE296H01011,EQ,223,223.9,207.1,215.15,217,31-Jan-18
NSE:EMMBI,Emmbi Industries Limited,INE753K01015,EQ,193.9,199.5,183.2,190.85,190,31-Jan-18
NSE:ENDURANCE,Endurance Technologies Limited,INE913H01037,EQ,1198,1207.9,1151.05,1194.85,1195,31-Jan-18
NSE:ENERGYDEV,Energy Development Company Limited,INE306C01019,EQ,27.45,27.45,25.85,26.05,26.1,31-Jan-18
NSE:ENGINERSIN,Engineers India Limited,INE510A01028,EQ,175.65,179,171.9,177.5,177.6,31-Jan-18
NSE:ENIL,Entertainment Network (India) Limited,INE265F01028,EQ,728.05,745,682,705.2,708,31-Jan-18
NSE:EQUITAS,Equitas Holdings Limited,INE988K01017,EQ,149.1,151.35,146.4,148.35,148,31-Jan-18
NSE:ERIS,Eris Lifesciences Limited,INE406M01024,EQ,775,787.9,773.4,782.2,784.8,31-Jan-18
NSE:EROSMEDIA,Eros International Media Limited,INE416L01017,EQ,203.3,207.3,200.05,202.2,201.25,31-Jan-18
NSE:ESABINDIA,Esab India Limited,INE284A01012,EQ,788.4,794.5,753.5,772.1,762.2,31-Jan-18
NSE:ESCORTS,Escorts Limited,INE042A01014,EQ,831,842,797,811.75,813,31-Jan-18
NSE:ESSARSHPNG,Essar Shipping Limited,INE122M01019,EQ,28.5,28.9,28.4,28.85,28.5,31-Jan-18
NSE:ESSELPACK,Essel Propack Limited,INE255A01020,EQ,292,292,282.3,284.75,284,31-Jan-18
NSE:ESTER,Ester Industries Limited,INE778B01029,EQ,73.35,73.35,70.6,73.35,73.35,31-Jan-18
NSE:EUROCERA,Euro Ceramics Limited,INE649H01011,EQ,7.75,7.95,7.5,7.8,7.85,31-Jan-18
NSE:EUROTEXIND,Eurotex Industries and Exports Limited,INE022C01012,EQ,34.5,37.95,34.5,36.65,36.65,31-Jan-18
NSE:EVEREADY,Eveready Industries India Limited,INE128A01029,EQ,417.4,421,399.05,413.45,415.45,31-Jan-18
